t,x,y,yaw_meas,v_meas,ekf_yaw_pre,ekf_yaw_post,ekf_yaw_rate,ekf_v,cte_init,epsi_init,prev_delta,chosen_delta,best_cost
0.7750000000000004,-183.5307159423828,79.78639221191406,-1.3881174576111837,1.1388828754425049,0.0,-0.9546257973689413,-0.03463254960876754,-0.6828804737244151,1.7880100550286395,0.6194996214440582,1.22,1.22,543.1577168773638
0.8079999999999998,-183.49891662597656,79.75421142578125,-1.368883975060577,1.1578439474105835,0.0,-0.9413986900262732,-0.03413951336154344,-0.6749614515462492,1.7407628000122803,0.632726728786718,1.22,1.22,530.051276629299
0.8410000000000002,-183.46603393554688,79.7221908569336,-1.3493950953614315,1.1741535663604736,0.0,-0.9279959428591562,-0.0336432991857213,-0.6665427382057707,1.6983465473928647,0.6461294759538658,1.22,1.22,516.6331806199718
0.8739999999999997,-183.43212890625,79.69041442871094,-1.3296798469696296,1.1882481575012207,0.0,-0.9144375191010259,-0.033143316179612275,-0.6577926279144413,1.655043070614814,0.6596878997119768,1.22,1.22,502.95779835170737
0.907,-183.39724731445312,79.65899658203125,-1.30980414312215,1.199112057685852,0.0,-0.900768748112207,-0.03263500452438386,-0.6494701214687594,1.6109097461823194,0.6733566707007963,1.22,1.22,489.1163376308445
0.9400000000000004,-183.36143493652344,79.62801361083984,-1.2897746417217186,1.2086261510849,0.0,-0.8869942086159642,-0.03213089684816901,-0.6401302741613354,1.5659711283834366,0.6871312101970295,1.22,1.22,475.0881212775302
0.9729999999999999,-183.3247833251953,79.59751892089844,-1.2695982669871695,1.2172091007232666,0.0,-0.8731186624844937,-0.03162492239160194,-0.6305076586744014,1.520298597498681,0.701006756328515,1.22,1.22,460.93666184447034
1.0060000000000002,-183.28721618652344,79.56755065917969,-1.249283674192045,1.2249860763549805,0.0,-0.8591480620580397,-0.03111604341600943,-0.6207533492801656,1.4738439455223957,0.7149773567549671,1.22,1.22,446.68963736469146
1.0389999999999997,-183.2488250732422,79.53816223144531,-1.2288408501904333,1.2320597171783447,0.0,-0.8450892754215,-0.030604412204096352,-0.6108836046835345,1.4226484480223758,0.7289252828389396,1.22,1.22,432.3526740074426
1.072,-183.20957946777344,79.50938415527344,-1.2082780507817135,1.2385640144348145,0.0,-0.8309479801917234,-0.030090368023883318,-0.6008868767626219,1.3747013684946712,0.7430665780658758,1.22,1.22,418.0133275085221
1.1050000000000004,-183.16954040527344,79.48126983642578,-1.1876016675525016,1.2445980310440063,0.0,-0.8167285719430442,-0.029573920772939973,-0.5907838254716549,1.3329111570197854,0.7572859863174148,1.22,1.22,403.6575722414537
1.138,-183.12872314453125,79.45384216308594,-1.1668220868310495,1.2501546144485474,0.0,-0.802438193483756,-0.02905487537550077,-0.5806327517132542,1.2837396518276047,0.7715763647766778,1.22,1.22,389.31832726818146
1.1710000000000003,-183.08714294433594,79.42713165283203,-1.1459450344137003,1.2552999258041382,0.0,-0.788080782515867,-0.028533687309542664,-0.5703998615290548,1.2339391228727743,0.7859337757445797,1.22,1.22,375.05232907642744
1.2039999999999997,-183.0447998046875,79.40117645263672,-1.1249730403034899,1.2602055072784424,0.0,-0.7736580789542176,-0.028010869453191697,-0.5600337294145928,1.1906510232765288,0.8003564793033489,1.22,1.22,360.85306928878856
1.237,-183.0017547607422,79.37602233886719,-1.1039130287192522,1.2648239135742188,0.0,-0.7591748446710038,-0.027485659105057448,-0.5496473112117379,1.139735176166129,0.8148397135894445,1.22,1.22,346.7756375933025
